Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
GDJ150L-GKTEY,E2,JTEBR9FJ00K248753,1GD-8890948,21822,202101,10394,DELIVERED,19/03/2022
GDJ150L-GKTEY,E2,JTEBR9FJ20K248382,1GD-8889703,21822,202101,10394,DELIVERED,19/03/2022
GDJ150L-GKTEY,E2,JTEBR9FJ70K248281,1GD-8889147,21822,202101,10394,DELIVERED,19/03/2022
GRJ150L-GKTEK,E6,JTEBU3FJ90K218937,1GR-C486212,21822,202101,10397,DELIVERED,19/03/2022
GRJ150L-GKTEK,E6,JTEBU3FJ60K218894,1GR-C485262,21822,202101,10397,DELIVERED,19/03/2022
GRJ150L-GKTEK,E6,JTEBU3FJ90K219103,1GR-C488049,21822,202101,10397,DELIVERED,19/03/2022
GRJ150L-GKTEK,E6,JTEBU3FJ80K217987,1GR-C479215,1G322,202101,10313,DELIVERED,16/02/2022
GRJ150L-GKTEK,E6,JTEBU3FJ60K217647,1GR-C476542,1G322,202101,10313,DELIVERED,16/02/2022
GRJ150L-GKTEK,E6,JTEBU3FJ60K218328,1GR-C482222,1G322,202101,10373,DELIVERED,16/02/2022
GRJ150L-GKTEK,E6,JTEBU3FJ80K219111,1GR-C487633,1G322,202101,10373,DELIVERED,19/03/2022
GRJ150L-GKTEK,E6,JTEBU3FJ40K219462,1GR-C490929,1G322,202101,10373,DELIVERED,19/03/2022
HZJ76L-RKMRS,10/H0,JTEEB71J80F017525,1HZ-0999761,5810,202101,10395,DELIVERED,19/03/2022
HZJ76L-RKMRS,10/H0,JTEEB71J70F017547,1HZ-0999903,5810,202101,10395,DELIVERED,19/03/2022
HZJ76L-RKMRS,10/H0,JTEEB71J00F017549,1HZ-0999931,5810,202101,10399,DELIVERED,19/03/2022
HZJ76L-RKMRS,10/H0,JTEEB71J90F017548,1HZ-0999913,5810,202101,10399,DELIVERED,19/03/2022
HZJ78L-RJMRS,H2,JTERB71J80F016974,1HZ-0998124,5810,202101,10399,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J20F016968,1HZ-0996923,5810,202101,10412,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J60F016973,1HZ-0998013,5810,202101,10412,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J50F016947,1HZ-0997977,5810,202101,10368,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J90F016952,1HZ-0998020,5810,202101,10368,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J50F016964,1HZ-0996927,5810,202101,10469,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J00F016967,1HZ-0997292,5810,202101,10469,DELIVERED,16/02/2022
HZJ78L-RJMRS,H2,JTERB71J00F016953,1HZ-0998027,5810,202101,10385,DELIVERED,16/02/2022
HZJ79L-DKMRS,60/H6,JTEBB71J20B036002,1HZ-0999381,5810,202101,10385,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J50B036012,1HZ-0999410,5810,202101,10386,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J40B036020,1HZ-0999421,5810,202101,10900,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71JX0B035955,1HZ-0999266,5810,202101,10389,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J90B035946,1HZ-0999246,5810,202101,10389,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J40B035918,1HZ-0998921,5810,202101,10391,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J70B035914,1HZ-0996879,5810,202101,10390,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J00B035916,1HZ-0998920,5810,202101,10390,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71J10B035911,1HZ-0996941,5810,202101,10384,DELIVERED,19/03/2022
HZJ79L-DKMRS,60/H6,JTEBB71JX0B036264,1HZ  999961,5810,202101,10384,DELIVERED,14/04/2022
HZJ79L-TJMRS,40/H5,JTELB71JX0B036219,1HZ-0999866,5810,202101,10388,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J10B036223,1HZ-0999877,5810,202101,10388,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J00B036083,1HZ-0999564,5810,202101,10388,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J90B036129,1HZ-0999625,5810,202101,10388,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71JX0B036186,1HZ-0999768,5810,202101,10387,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J00B036231,1HZ-0999896,5810,202101,10392,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J90B036289,1HZ-1000048,5810,202101,10392,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J90B036227,1HZ-0999882,5810,202101,10395,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71JX0B036298,1HZ-1000073,5810,202101,10395,DELIVERED,19/03/2022
HZJ79L-TJMRS,40/H5,JTELB71J00B036293,1HZ-1000055,5810,202101,10395,DELIVERED,19/03/2022
MXAA52L-ANXXB,A3,JTMZ43FV40D116505,M20A-V406939,1G340,202101,10580,DELIVERED,10/03/2022
