Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
HZJ78L-RJMRS,H2,JTERB71J40F021718,1HZ    1028750,5810,202211,,,08/01/2023
HZJ78L-RJMRS,H2,JTERB71J70F021776,1HZ    1029181,5810,202212,,,16/01/2023
HZJ78L-RJMRS,H2,new Qasim 22,,5810,new11,new22,new33,
HZJ78L-RJMRS,H2,new Qasim 23,,5810,new44,new55,new66,
HZJ78L-RJMRS,H2,new Qasim 24,,5810,,,,
HZJ79L-DKMRS,H6,JTEBB71J60B047682,1HZ    1024334,5810,202210,,,21/12/2022
HZJ79L-DKMRS,H6,JTEBB71JX0B047684,1HZ    1024337,5810,202210,,,21/12/2022
VDJ79LDKMRYV,E6,qasim22,,5810,,,,
HZB70L-ZGMSS,E0,JTGABBB8306715593,1HZ    1027389,5810,202211,,,15/12/2022
HZB70L-ZGMSS,H0,JTGABAB8306710940,1HZ    1030252,5810,202212,,,16/01/2023
HZJ76R-RKMRS,H0,JTEEB71J80F021817,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71J70F021775,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71J70F021761,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71J50F021886,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71JX0F021799,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71J80F021865,,5810,202210,11149,DELIVERED,21/11/2022
HZJ76R-RKMRS,H0,JTEEB71J00F021911,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J70B046951,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71JX0B047396,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J80B047011,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J00B047228,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71JX0B047124,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J30B047594,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J00B047424,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J20B046856,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J70B047551,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J30B047448,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J90B046854,,5810,202210,,,21/11/2022
HZJ79R-RJMRS,H4,JTELB71J10B047545,,5810,202210,,,21/11/2022
HZJ79R-DKMRS,H6,JTEBB71J90B046901,,5810,202210,,,21/11/2022
GDJ150R-GKTEY,U2,JTEBR3FJ50K287061,,7022,202209,,,21/11/2022
FJA300R-GNUVY,D3,JTMAABBJ804029970,,1F720,202210,,,21/11/2022
FJA300R-GNUVY,D3,JTMAABBJ904030965,,21820,202210,,,21/11/2022
FJA300R-GNUZY,D6,JTMAA7BJX04029479,,1F720,202209,,,12/11/2022
FJA300R-GNUZY,D6,JTMAA7BJX04029563,,1F720,202209,,,12/11/2022
FJA300R-GNUZY,D6,JTMAA7BJ704032520,,1G320,202210,,,13/12/2022
HZJ79R-TJMRS,H4,JTELB71J30B049040,1HZ    1027343,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J10B048128,1HZ    1025320,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J70B049137,1HZ    1027551,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J20B048123,1HZ    1025317,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J40B048916,1HZ    1027048,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71JX0B049102,1HZ    1027471,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J30B048132,1HZ    1025322,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J90B048989,1HZ    1027223,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J60B048982,1HZ    1027197,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J40B048933,1HZ    1027070,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71JX0B049133,1HZ    1027547,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J30B048910,1HZ    1027020,5810,202211,,,15/12/2022
HZJ79R-TJMRS,H4,JTELB71J50B048861,1HZ    1026889,5810,202211,,,15/12/2022
HZJ79L-DKMRS,H6,JTEBB71J90B048597,1HZ    1026319,5810,202211,,,15/12/2022
HZJ79L-DKMRS,H6,JTEBB71J50B048600,1HZ    1026325,5810,202211,,,15/12/2022
FJA300R-GNUVY,D3,JTMAABBJ704031970,F33A   0035535,1F720,202210,,,09/12/2022
FJA300R-GNUVY,D3,JTMAABBJ104032189,F33A   0035699,1F720,202210,,,09/12/2022
FJA300R-GNUZY,D6,JTMAA7BJ304033583,F33A   0036900,21820,202211,,,15/12/2022
GDJ150L-GKTEY,G2,JTEBR9FJ80K267888,1GD-8961342,21822,202206,11206,DELIVERED,
,,JBPDH12334567,,,,,,
,,JBPDH12339900,,,,,,
,,hh12381u,,,,,,
,,waqq12223,,,,,,
,,tret,,,,,,
,,errwer,,,,,,
