Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
AXVA70L-AEZDBV,A2,,,,,,,
AXVA70L-AEZDBV,B1,,,,,,,
FJA300L-GNUAY       ,D0,,,,,,,
FJA300L-GNUVY,D3,,,,,,,
FJA300L-GNUVY,D4,,,,,,,
FJA300L-GNUVY,D5,,,,,,,
FJA300L-GNUZYV      ,D6,,,,,,,
FJA300R-GNUAY,D0,,,,,,,
FJA300R-GNUVY,D3,,,,,,,
FJA300R-GNUZY,D6,,,,,,,
GDJ150L-GKTEY,E2,,,,,,,
GDJ150L-GKTEY,E2,,,,,,,
GDJ150L-GKTEY,F3,,,,,,,
GDJ150L-GKTEY,F3,,,,,,,
GDJ150L-GKTEY,F5,,,,,,,
GDJ150L-GKTEY,F5,,,,,,,
GDJ150L-GKTEY,F6,,,,,,,
GDJ150L-GKTEY,F6,,,,,,,
GDJ150L-GKTEY,F7,,,,,,,
GDJ150L-GKTEY,F7,,,,,,,
GDJ150L-GKTEY,F9,,,,,,,
GDJ150L-GKTEY,F9,,,,,,,
GDJ150R-GKTEY,U1,,,,,,,
GDJ150R-GKTEY,U2,,,,,,,
GDJ150R-GKTEY,U3,,,,,,,
GRJ150L-GKTEK,E6,,,,,,,
GRJ150L-GKTEK,E6,,,,,,,
GRJ300L-GNTAKV,G0,,,,,,,
GRJ300L-GNTAKV,G0,,,,,,,
GRJ300L-GNTVKV,G3,,,,,,,
GRJ300L-GNTVKV,G3,,,,,,,
GRJ79L-DKMRK,F6,,,,,,,
GRJ79L-DKMRK,F6,,,,,,,
GRJ79L-TJMRK,F4,,,,,,,
GRJ79L-TJMRK,F4,,,,,,,
GUN125L-CNFSXN,2B,,,,,,,
GUN125L-CNFSXN,2B,,,,,,,
GUN125L-DNFLXN,2E,,,,,,,
GUN125L-DNFLXN,2E,,,,,,,
GUN125L-DNFSXN,3D,,,,,,,
GUN125L-DNFSXN,3D,,,,,,,
GUN125L-DNFSXN,3F,,,,,,,
GUN125L-DNFSXN,3F,,,,,,,
GUN125L-DNFSXN,DF,,,,,,,
GUN125L-DNFSXN,MA,,,,,,,
GUN125L-DNFSXN,DF,,,,,,,
GUN125L-DNFSXN,MA,,,,,,,
GUN125L-DNTSXN,3I,,,,,,,
GUN125L-DNTSXN,3I,,,,,,,
GUN125L-DTFLXV,4F,,,,,,,
GUN125L-DTFLXV,4F,,,,,,,
GUN126L-DNTHXN,3R,,,,,,,
GUN126L-DNTHXN,3R,,,,,,,
GUN155L-SNTSXN,4M,,,,,,,
GUN155L-SNTSXN,4W,,,,,,,
GUN156L-STTHX,G1,,,,,,,
HZB70L-ZGMSS        ,F0,,,,,,,
HZB70L-ZGMSS        ,H0,,,,,,,
HZB70R-ZGMNS,H2,,,,,,,
HZJ76L-RKMRS        ,H0,,,,,,,
HZJ76L-RKMRS        ,H0,,,,,,,
HZJ76L-RKMRS        ,H1,,,,,,,
HZJ76L-RKMRS        ,H1,,,,,,,
HZJ76R-RKMRS,H0,,,,,,,
HZJ76R-RKMRS,H0,,,,,,,
HZJ78L-RJMRS        ,H2,,,,,,,
HZJ78R-RJMRS,H2,,,,,,,
HZJ79L-DKMRS        ,H6,,,,,,,
HZJ79L-DKMRS        ,H6,,,,,,,
HZJ79L-TJMRS,H5,,,,,,,
HZJ79L-TJMRS,H5,,,,,,,
